source;target;method;length_m;Country;geometry;diameter_mm;index;param;name;capacity_Mm^3/d;mm_len;id;country_code;uncertainty;tags
(757926.5454303586, 7207322.22114858);(807807.6960599166, 7159118.912010687);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};40672.148;True;LINESTRING (757926.5454303586 7207322.22114858, 807807.6960599166 7159118.912010687);900.0;4100;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 54.0688, 'length_km': 40.672148, 'long_mean': 7.032843, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['XX', 'DE9'], 'nuts_id_2': ['XX', 'DE94'], 'nuts_id_3': ['XX', 'DE94H'], 'path_lat': [54.06894], 'path_long': [7.0333], 'start_year': None};NSG_6650_Seg_2_Seg_0;27.809143341935314;69366.33333233008;NSG_6650_Seg_2_Seg_0;['XX', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0.5, 'is_bothDirection': 0.5, 'lat_mean': 0.12705000000000052, 'length_km': 0.3333333333333333, 'long_mean': 0.22404500000000027, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(757926.5454303586, 7207322.22114858);(807807.6960599166, 7159118.912010687);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};40672.148;True;LINESTRING (757926.5454303586 7207322.22114858, 807807.6960599166 7159118.912010687);900.0;4140;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 54.0688, 'length_km': 40.672148, 'long_mean': 7.032843, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['XX', 'DE9'], 'nuts_id_2': ['XX', 'DE94'], 'nuts_id_3': ['XX', 'DE94H'], 'path_lat': [54.06894], 'path_long': [7.0333], 'start_year': None};NSG_6734_Seg_2_Seg_0;27.809143341935314;69366.33333233008;NSG_6734_Seg_2_Seg_0;['XX', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0.5, 'is_bothDirection': 0.5, 'lat_mean': 0.12705000000000052, 'length_km': 0.3333333333333333, 'long_mean': 0.22404500000000027, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(807807.6960599166, 7159118.912010687);(815843.850100283, 7134574.8782972265);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'raw', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': 'raw'};15212.876;True;LINESTRING (807807.6960599166 7159118.912010687, 815843.850100283 7134574.8782972265);1067.0;6298;{'diameter_mm': 1067.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 53.87669, 'length_km': 15.212876, 'long_mean': 7.292755, 'max_cap_M_m3_per_d': 65.7534, 'max_pressure_bar': 49.0, 'nuts_id_1': ['DE9', 'DE9'], 'nuts_id_2': ['DE94', 'DE94'], 'nuts_id_3': ['DE94H', 'DE947'], 'path_lat': [], 'path_long': [], 'start_year': 1999};PLNG_2637_Seg_0_Seg_0_Seg_0;65.7534;25826.13720028612;PLNG_2637_Seg_0_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.0649899999999981, 'length_km': 0.5, 'long_mean': 0.03609499999999999, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': 0};{}
(681661.3396489053, 6764564.505472038);(637008.0862654719, 6772214.151799204);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};30851.201;True;LINESTRING (681661.3396489053 6764564.505472038, 637008.0862654719 6772214.151799204);900.0;4271;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 51.8364, 'length_km': 30.851201, 'long_mean': 5.966226, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DEA', 'NL2'], 'nuts_id_2': ['DEA1', 'NL22'], 'nuts_id_3': ['DEA1B', 'NL226'], 'path_lat': [51.860938], 'path_long': [6.05287], 'start_year': None};LKD_PS_0_Seg_0_Seg_0;27.809143341935314;45303.75400180247;LKD_PS_0_Seg_0_Seg_0;['DE', 'NL'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.021236500000000543, 'length_km': 0.3333333333333333, 'long_mean': 0.2005634999999999, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(681661.3396489053, 6764564.505472038);(682552.0068947424, 6728692.507370236);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_M_Heuristics.PipeSegment_capacity()', 'max_pressure_bar': 'raw', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};22220.111;True;LINESTRING (682552.0068947424 6728692.507370236, 681661.3396489053 6764564.505472038);225.0;4621;{'diameter_mm': 225.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 51.703042, 'length_km': 22.220111, 'long_mean': 6.127468, 'max_cap_M_m3_per_d': 6.329656656031141, 'max_pressure_bar': 68.0, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1B', 'DEA1B'], 'path_lat': [], 'path_long': [], 'start_year': None};LKD_PS_363_Seg_0_Seg_0;6.329656656031141;35883.05360415227;LKD_PS_363_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.09985299999999953, 'length_km': 0.5, 'long_mean': 0.0040005000000000734, 'max_cap_M_m3_per_d': 1.1902566810274338, 'max_pressure_bar': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(681661.3396489053, 6764564.505472038);(709589.8414160666, 6750795.383092231);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};19692.648999999998;True;LINESTRING (709589.8414160666 6750795.383092231, 681661.3396489053 6764564.505472038);900.0;4640;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 1, 'is_bothDirection': 0, 'lat_mean': 51.762059, 'length_km': 19.692649, 'long_mean': 6.276215, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1B', 'DEA1B'], 'path_lat': [51.756938], 'path_long': [6.330822], 'start_year': None};LKD_PS_387_Seg_0_Seg_1;27.809143341935314;31138.239225563622;LKD_PS_387_Seg_0_Seg_1;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.03827550000000102, 'length_km': 0.3333333333333333, 'long_mean': 0.1254430000000002, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(681661.3396489053, 6764564.505472038);(740186.3374190701, 6760051.547989771);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};37315.647;True;LINESTRING (740186.3374190701 6760051.547989771, 681661.3396489053 6764564.505472038);350.0;4641;{'diameter_mm': 350.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 51.776846, 'length_km': 37.315647, 'long_mean': 6.400601, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1F', 'DEA1B'], 'path_lat': [51.749823], 'path_long': [6.429127], 'start_year': None};LKD_PS_388_Seg_0_Seg_0;27.809143341935314;58698.74061029367;LKD_PS_388_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.012537999999999272, 'length_km': 0.3333333333333333, 'long_mean': 0.26286949999999987, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(681661.3396489053, 6764564.505472038);(715598.0882926519, 6728236.025495461);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_raw', 'max_pressure_bar': 'log_M_Heuristics.PipeSegment_pressure()', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};37486.48;True;LINESTRING (681661.3396489053 6764564.505472038, 715598.0882926519 6728236.025495461);1000.0;4642;{'diameter_mm': 1000.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 51.675399, 'length_km': 37.48648, 'long_mean': 6.245101, 'max_cap_M_m3_per_d': 61.37956396400001, 'max_pressure_bar': 76.91397837172258, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1B', 'DEA1F'], 'path_lat': [51.739046, 51.701805, 51.668466, 51.626964, 51.587973], 'path_long': [6.127692, 6.198114, 6.215072, 6.30696, 6.316071], 'start_year': None};LKD_PS_390_Seg_0_Seg_0;61.37956396400001;49713.79452342553;LKD_PS_390_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.10112649999999944, 'length_km': 0.14285714285714285, 'long_mean': 0.15242950000000022, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 1.011907891481881, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(681661.3396489053, 6764564.505472038);(715598.0882926519, 6728236.025495461);{'diameter_mm': 'raw', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'log_raw', 'max_pressure_bar': 'log_M_Heuristics.PipeSegment_pressure()', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};36143.253000000004;True;LINESTRING (681661.3396489053 6764564.505472038, 715598.0882926519 6728236.025495461);1000.0;4643;{'diameter_mm': 1000.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 51.679653, 'length_km': 36.143253, 'long_mean': 6.259054, 'max_cap_M_m3_per_d': 61.36789729733334, 'max_pressure_bar': 76.91087229446003, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1B', 'DEA1F'], 'path_lat': [51.74762, 51.708484, 51.673525, 51.631699, 51.592707], 'path_long': [6.141401, 6.226879, 6.237681, 6.323263, 6.332361], 'start_year': None};LKD_PS_391_Seg_0_Seg_0;61.36789729733334;49713.79452342553;LKD_PS_391_Seg_0_Seg_0;['DE', 'DE'];{'diameter_mm': 0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.10112649999999944, 'length_km': 0.14285714285714285, 'long_mean': 0.15242950000000022, 'max_cap_M_m3_per_d': 0, 'max_pressure_bar': 1.0117059471577452, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(681661.3396489053, 6764564.505472038);(679058.5786346678, 6793212.4971026825);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'M_Heuristics.app_Phys_Heur_Move_Capacity()', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};18184.505;True;LINESTRING (679058.5786346678 6793212.4971026825, 681661.3396489053 6764564.505472038);900.0;6011;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 51.879644, 'length_km': 18.184505, 'long_mean': 6.120486, 'max_cap_M_m3_per_d': 28.82086478588354, 'max_pressure_bar': 70.0, 'nuts_id_1': ['NL2', 'DEA'], 'nuts_id_2': ['NL22', 'DEA1'], 'nuts_id_3': ['NL225', 'DEA1B'], 'path_lat': [51.90844, 51.84549], 'path_long': [6.11577, 6.14262], 'start_year': None};ST_2611_Seg_0_Seg_0_Seg_0;28.82086478588354;28765.98319833192;ST_2611_Seg_0_Seg_0_Seg_0;['NL', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': None, 'lat_mean': 0.07942800000000004, 'length_km': 0.25, 'long_mean': 0.011690499999999826, 'max_cap_M_m3_per_d': 0.0, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(637008.0862654719, 6772214.151799204);(682085.4669088277, 6775527.460544628);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};27895.074;True;LINESTRING (637008.0862654719 6772214.151799204, 682085.4669088277 6775527.460544628);900.0;4272;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 51.85456, 'length_km': 27.895074, 'long_mean': 5.92481, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['NL2', 'DEA'], 'nuts_id_2': ['NL22', 'DEA1'], 'nuts_id_3': ['NL226', 'DEA1B'], 'path_lat': [], 'path_long': [], 'start_year': None};LKD_PS_0_Seg_0_Seg_2;27.809143341935314;45198.985171223605;LKD_PS_0_Seg_0_Seg_2;['NL', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.009191999999998757, 'length_km': 0.5, 'long_mean': 0.2024684999999997, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
(682085.4669088277, 6775527.460544628);(715598.0882926519, 6728236.025495461);{'diameter_mm': 'Median(diameter_mm)', 'end_year': None, 'is_H_gas': 'raw', 'is_bothDirection': 'make_Attrib(const)', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'nuts_id_1': 'make_Attrib(const)', 'nuts_id_2': 'make_Attrib(const)', 'nuts_id_3': 'make_Attrib(const)', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'start_year': None};35868.899;True;LINESTRING (682085.4669088277 6775527.460544628, 715598.0882926519 6728236.025495461);900.0;4273;{'diameter_mm': 900.0, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0, 'lat_mean': 51.732228, 'length_km': 35.868899, 'long_mean': 6.277948, 'max_cap_M_m3_per_d': 27.809143341935314, 'max_pressure_bar': 70.0, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1B', 'DEA1F'], 'path_lat': [51.73229], 'path_long': [6.27824], 'start_year': None};LKD_PS_0_Seg_0_Seg_3;27.809143341935314;57961.846252730145;LKD_PS_0_Seg_0_Seg_3;['DE', 'DE'];{'diameter_mm': 249.87054361567627, 'end_year': None, 'is_H_gas': 0, 'is_bothDirection': 0.5, 'lat_mean': 0.13155499999999873, 'length_km': 0.3333333333333333, 'long_mean': 0.15052450000000037, 'max_cap_M_m3_per_d': 24.306462524672494, 'max_pressure_bar': 11.06611831401779, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'path_lat': 0, 'path_long': 0, 'start_year': None};{}
